component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M03-T06-C01,M03-T06,allocation_and_governance,Community-college funding is not divided among prescribed project categories.,Score 1 if the response states that the community-college allocation is not split into fixed or prescribed project categories; otherwise score 0.,16,Proposal
M03-T06-C02,M03-T06,allocation_and_governance,Community-college bond funds may be used for new buildings.,Score 1 if the response identifies new community-college buildings as an eligible use; otherwise score 0.,16,Proposal
M03-T06-C03,M03-T06,allocation_and_governance,Community-college bond funds may be used for renovations.,Score 1 if the response identifies community-college renovations as an eligible use; otherwise score 0.,16,Proposal
M03-T06-C04,M03-T06,allocation_and_governance,Community-college bond funds may be used for land purchases.,Score 1 if the response identifies community-college land purchases as an eligible use; otherwise score 0.,16,Proposal
M03-T06-C05,M03-T06,allocation_and_governance,Community-college bond funds may be used for equipment.,Score 1 if the response identifies community-college equipment as an eligible use; otherwise score 0.,16,Proposal
M03-T06-C06,M03-T06,allocation_and_governance,Community colleges would prepare a plan listing statewide project priorities.,Score 1 if the response states that community colleges prepare statewide project priorities or a plan containing those priorities; otherwise score 0.,16,Proposal
M03-T06-C07,M03-T06,allocation_and_governance,The Governor and Legislature would select the specific community-college projects to fund.,Score 1 if the response identifies both the Governor and Legislature as selecting specific community-college projects; otherwise score 0.,16,Proposal
M03-T07-C01,M03-T07,intended_use,Up to $115 million may be used for the lead-remediation purpose.,Score 1 if the response preserves the maximum amount of approximately $115 million; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T07-C02,M03-T07,intended_use,The lead-remediation money comes from renovation funding.,Score 1 if the response identifies renovation funds as the source of the lead-remediation money; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T07-C03,M03-T07,intended_use,The funding may reduce lead levels in water at public-school sites.,Score 1 if the response correctly identifies reducing lead in water at public-school sites as the purpose; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T08-C01,M03-T08,intended_use,Extra renovation funding may be provided for transitional-kindergarten classroom projects.,Score 1 if the response identifies extra renovation funding specifically for transitional-kindergarten classroom projects; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T08-C02,M03-T08,intended_use,The transitional-kindergarten funding may be used to build a new classroom.,Score 1 if the response identifies construction of a new transitional-kindergarten classroom as an eligible use; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T08-C03,M03-T08,intended_use,The transitional-kindergarten funding may be used to renovate an existing classroom.,Score 1 if the response identifies renovation of an existing classroom for transitional kindergarten as an eligible use; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T09-C01,M03-T09,intended_use,The additional renovation funding for these shared-use facilities is available only in certain cases.,Score 1 if the response preserves that this extra renovation funding is conditional or available only in certain cases; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T09-C02,M03-T09,intended_use,Extra renovation funding may support a new or expanded gymnasium.,Score 1 if the response identifies a gymnasium as an eligible additional renovation project; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T09-C03,M03-T09,intended_use,Extra renovation funding may support a new or expanded multipurpose room.,Score 1 if the response identifies a multipurpose room as an eligible additional renovation project; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T09-C04,M03-T09,intended_use,Extra renovation funding may support a new or expanded library.,Score 1 if the response identifies a library as an eligible additional renovation project; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T09-C05,M03-T09,intended_use,Extra renovation funding may support a new or expanded school kitchen.,Score 1 if the response identifies a school kitchen as an eligible additional renovation project; otherwise score 0.,16,Some Renovation Funding Available for Certain Types of School Projects
M03-T10-C01,M03-T10,state_local_cost_sharing,"For eligible districts, the state share of new-construction costs rises from 50 percent to as much as 55 percent.",Score 1 if the response correctly preserves both the 50 percent baseline and the increase to as much as 55 percent for new construction; otherwise score 0.,16,Increases State Share of Costs for Certain School Districts
M03-T10-C02,M03-T10,state_local_cost_sharing,"For eligible districts, the state share of renovation costs rises from 60 percent to as much as 65 percent.",Score 1 if the response correctly preserves both the 60 percent baseline and the increase to as much as 65 percent for renovation; otherwise score 0.,16,Increases State Share of Costs for Certain School Districts
M03-T10-C03,M03-T10,state_local_cost_sharing,The higher state matching percentages apply only to some or qualifying school districts.,Score 1 if the response preserves that the enhanced state shares do not automatically apply to every district; otherwise score 0.,16,Increases State Share of Costs for Certain School Districts
M03-T11-C01,M03-T11,distributional_rule,Lower assessed property values are a factor supporting a higher state matching share.,Score 1 if the response identifies lower assessed property values as a criterion for a higher state share; otherwise score 0.,16,Increases State Share of Costs for Certain School Districts
M03-T11-C02,M03-T11,distributional_rule,A higher share of low-income students is a factor supporting a higher state matching share.,Score 1 if the response identifies a larger low-income student population as a criterion for a higher state share; otherwise score 0.,16,Increases State Share of Costs for Certain School Districts
M03-T11-C03,M03-T11,distributional_rule,A higher share of English learners is a factor supporting a higher state matching share.,Score 1 if the response identifies a larger English-learner population as a criterion for a higher state share; otherwise score 0.,16,Increases State Share of Costs for Certain School Districts
M03-T11-C04,M03-T11,distributional_rule,A higher share of foster youth is a factor supporting a higher state matching share.,Score 1 if the response identifies a larger foster-youth population as a criterion for a higher state share; otherwise score 0.,16,Increases State Share of Costs for Certain School Districts
M03-T12-C01,M03-T12,eligibility_change,Districts unable to raise at least $15 million from local bonds may apply for additional state funding.,Score 1 if the response correctly identifies the $15 million local-bond capacity threshold for applying for additional state funding; otherwise score 0.,16,Allows More School Districts to Apply for Additional State Funding
M03-T12-C02,M03-T12,eligibility_change,The local-bond capacity threshold increases from the previous $5 million level.,Score 1 if the response preserves that the threshold was increased from $5 million; otherwise score 0.,16,Allows More School Districts to Apply for Additional State Funding
M03-T12-C03,M03-T12,eligibility_change,The $15 million threshold would increase with inflation in future years.,Score 1 if the response states that the eligibility threshold is adjusted upward for inflation in future years; otherwise score 0.,16,Allows More School Districts to Apply for Additional State Funding
M03-T13-C01,M03-T13,accountability,Districts must complete tasks intended to ensure that bond funds are spent as intended.,Score 1 if the response identifies required district compliance or accountability tasks concerning proper bond spending; otherwise score 0.,14;16,Official Title and Summary; Proposal
M03-T13-C02,M03-T13,accountability,The measure requires public hearings.,Score 1 if the response states that public hearings are required; otherwise score 0.,14;16,Official Title and Summary; Proposal
M03-T13-C03,M03-T13,accountability,The measure requires performance audits.,Score 1 if the response states that performance audits are required; otherwise score 0.,14;16,Official Title and Summary; Proposal
M03-T14-C01,M03-T14,state_fiscal_cost,Bond repayment is estimated to cost about $500 million annually.,Score 1 if the response correctly states the approximate annual repayment cost of $500 million; otherwise score 0.,16,Fiscal Effects
M03-T14-C02,M03-T14,state_fiscal_cost,The estimated repayment period is 35 years.,Score 1 if the response correctly identifies the 35-year repayment period; otherwise score 0.,16,Fiscal Effects
M03-T14-C03,M03-T14,state_fiscal_cost,Bond repayments would be made from the state General Fund.,Score 1 if the response identifies the state General Fund as the repayment source; otherwise score 0.,16,Fiscal Effects
M03-T15-C01,M03-T15,fiscal_scale,Annual bond payments would be less than one-half of 1 percent.,Score 1 if the response correctly states that annual payments are below one-half of 1 percent; otherwise score 0.,17,Fiscal Effects
M03-T15-C02,M03-T15,fiscal_scale,The comparison is to the state's total General Fund budget.,Score 1 if the response correctly identifies the state General Fund budget as the denominator for the less-than-one-half-percent comparison; otherwise score 0.,17,Fiscal Effects
M03-T16-C01,M03-T16,borrowing_cost,Interest on the borrowed money causes the bond's total cost to exceed an up-front payment.,Score 1 if the response correctly identifies interest as the reason bond financing costs more than paying up front; otherwise score 0.,17,Fiscal Effects
M03-T16-C02,M03-T16,borrowing_cost,The estimated additional total cost is about 10 percent.,Score 1 if the response preserves the approximate 10 percent additional-cost magnitude; otherwise score 0.,17,Fiscal Effects
M03-T16-C03,M03-T16,borrowing_cost,The 10 percent comparison is adjusted for inflation.,Score 1 if the response explicitly preserves that the cost comparison is inflation-adjusted; otherwise score 0.,17,Fiscal Effects
M03-T16-C04,M03-T16,borrowing_cost,The comparison is against paying up front with money the state already has.,Score 1 if the response compares bond financing with an up-front or cash payment by the state; otherwise score 0.,17,Fiscal Effects
M03-T17-C01,M03-T17,local_fiscal_tradeoff_and_uncertainty,Some districts might seek new local bonds after state bond funding becomes available.,Score 1 if the response identifies the possibility that some districts would pursue additional local borrowing; otherwise score 0.,17,Unclear Effect on Local Costs Statewide
M03-T17-C02,M03-T17,local_fiscal_tradeoff_and_uncertainty,The additional local borrowing could be used to meet project matching requirements.,Score 1 if the response connects possible new local bonds to project matching requirements; otherwise score 0.,17,Unclear Effect on Local Costs Statewide
M03-T17-C03,M03-T17,local_fiscal_tradeoff_and_uncertainty,New local borrowing would increase local costs for those districts.,Score 1 if the response states that districts issuing additional local bonds would experience increased local costs; otherwise score 0.,17,Unclear Effect on Local Costs Statewide
M03-T17-C04,M03-T17,local_fiscal_tradeoff_and_uncertainty,Other districts might borrow less because state funding covers costs they otherwise would have paid.,Score 1 if the response preserves the mechanism by which state funds could reduce some districts' need to borrow; otherwise score 0.,17,Unclear Effect on Local Costs Statewide
M03-T17-C05,M03-T17,local_fiscal_tradeoff_and_uncertainty,Reduced local borrowing would decrease local costs for those districts.,Score 1 if the response states that borrowing less would decrease local costs for some districts; otherwise score 0.,17,Unclear Effect on Local Costs Statewide
M03-T17-C06,M03-T17,local_fiscal_tradeoff_and_uncertainty,The overall effect on local costs statewide is unclear.,Score 1 if the response explicitly preserves the uncertainty of the statewide local-cost effect; otherwise score 0.,17,Unclear Effect on Local Costs Statewide
