component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M11-T08-C02,M11-T08,state_fiscal_effect,The estimated state cost is less than one-half of 1 percent of the General Fund budget.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T09-C01,M11-T09,local_population_and_workload,Some changes would shift people from county custody or supervision to state prison.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T09-C02,M11-T09,local_population_and_workload,Other changes would increase time spent in county jail or community supervision.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T09-C03,M11-T09,local_population_and_workload,"On net, the county-level population could increase by around a few thousand people.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T09-C04,M11-T09,local_population_and_workload,"Local prosecutors, public defenders, and some county agencies would face increased workload.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T10-C01,M11-T10,local_fiscal_effect,Local criminal-justice costs likely would increase by tens of millions of dollars annually.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T11-C01,M11-T11,prop47_savings_effect,Proposition 47 savings were $95 million in the referenced prior year.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T11-C02,M11-T11,prop47_savings_effect,Proposition 36 would reduce Proposition 47 savings.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T11-C03,M11-T11,prop47_savings_effect,The resulting reduction in required spending likely would be in the low tens of millions of dollars annually.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T11-C04,M11-T11,prop47_savings_effect,"Reduced required spending affects mental-health and drug treatment, school truancy/dropout prevention, and victim services.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T12-C01,M11-T12,crime_reduction_uncertainty,"If increased punishment or mandated treatment reduces crime, some criminal-justice costs could be avoided.","Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
M11-T12-C02,M11-T12,crime_reduction_uncertainty,It is unknown whether those crime-reduction-related savings would occur.,"Score 1 if the response correctly preserves this information with materially accurate entities, direction, magnitude, timeframe, and qualifiers where applicable; otherwise score 0. Apply SCORING_GUIDE.md for semantic equivalence and ambiguity rules.",58;59;60;61,Official Title/Summary and Legislative Analyst Analysis
