component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M05-T04-C01,M05-T04,water_allocation,About $1.9 billion of the water category would increase the amount and quality of water available for people to use.,Score 1 if the response correctly identifies approximately $1.9 billion for increasing water amount and quality; otherwise score 0.,26,"Drought, Flood, and Water Supply"
M05-T04-C02,M05-T04,water_allocation,The water funding includes drought-related water storage and treatment of polluted water for safe drinking.,Score 1 if the response preserves both drought-related water storage and making polluted water safe to drink as eligible activities; otherwise score 0.,26,"Drought, Flood, and Water Supply"
M05-T04-C03,M05-T04,water_allocation,About $1.1 billion would support flood-risk reduction.,Score 1 if the response correctly identifies approximately $1.1 billion for reducing flood risk; otherwise score 0.,26,"Drought, Flood, and Water Supply"
M05-T04-C04,M05-T04,water_allocation,Remaining water-category funds may support other activities such as restoring rivers and lakes.,Score 1 if the response preserves that remaining water funding supports other water-related activities such as river and lake restoration; otherwise score 0.,26,"Drought, Flood, and Water Supply"
M05-T05-C01,M05-T05,wildfire_allocation,The $1.5 billion wildfire category would improve forest health and reduce the risk of severe and destructive wildfires.,Score 1 if the response preserves both the approximately $1.5 billion allocation and its forest-health or severe-wildfire-risk-reduction purpose; otherwise score 0.,26,Forest Health and Wildfire Prevention
M05-T05-C02,M05-T05,wildfire_allocation,Wildfire activities include thinning overgrown forests and clearing vegetation near where people live.,Score 1 if the response identifies tree thinning and/or vegetation clearing near communities as wildfire-prevention activities; otherwise score 0.,26,Forest Health and Wildfire Prevention
M05-T05-C03,M05-T05,wildfire_allocation,Wildfire funding may help homeowners make properties more resistant to wildfire damage.,Score 1 if the response identifies homeowner property wildfire-resilience activities as an eligible use; otherwise score 0.,26,Forest Health and Wildfire Prevention
M05-T06-C01,M05-T06,coastal_allocation,The coastal category totals $1.2 billion.,Score 1 if the response correctly identifies approximately $1.2 billion for sea-level-rise and coastal-area activities; otherwise score 0.,26,Sea-Level Rise and Coastal Areas
M05-T06-C02,M05-T06,coastal_allocation,About $890 million would restore coastal areas and protect them from rising sea levels.,Score 1 if the response correctly associates approximately $890 million with coastal restoration and protection from sea-level rise; otherwise score 0.,26,Sea-Level Rise and Coastal Areas
M05-T06-C03,M05-T06,coastal_allocation,Coastal protection may include restoring wetlands as buffers against rising sea levels.,Score 1 if the response identifies wetland restoration as an example of protection from sea-level rise; otherwise score 0.,26,Sea-Level Rise and Coastal Areas
M05-T06-C04,M05-T06,coastal_allocation,About $310 million would improve ocean habitats and protect fish and other marine wildlife.,Score 1 if the response correctly associates approximately $310 million with ocean habitat and marine-wildlife protection; otherwise score 0.,26,Sea-Level Rise and Coastal Areas
M05-T07-C01,M05-T07,conservation_allocation,The land-conservation and habitat-restoration allocation totals $1.2 billion and would protect or restore land for fish and wildlife.,Score 1 if the response preserves the approximately $1.2 billion allocation and its land-protection or habitat-restoration purpose for fish and wildlife; otherwise score 0.,26,Land Conservation and Habitat Restoration
M05-T07-C02,M05-T07,conservation_allocation,Land-conservation funding may purchase land to keep it from being developed.,Score 1 if the response identifies land acquisition or setting land aside from development as an eligible conservation activity; otherwise score 0.,26,Land Conservation and Habitat Restoration
M05-T08-C01,M05-T08,energy_allocation,The energy-infrastructure allocation totals $850 million.,Score 1 if the response correctly identifies approximately $850 million for energy infrastructure; otherwise score 0.,26,Energy Infrastructure
M05-T08-C02,M05-T08,energy_allocation,About $475 million would support offshore wind development off the California coast.,Score 1 if the response correctly associates approximately $475 million with offshore wind development; otherwise score 0.,26,Energy Infrastructure
M05-T08-C03,M05-T08,energy_allocation,About $325 million would support transmission infrastructure such as long-distance electricity lines.,Score 1 if the response correctly associates approximately $325 million with transmission infrastructure; otherwise score 0.,26,Energy Infrastructure
M05-T08-C04,M05-T08,energy_allocation,About $50 million would support large batteries for electricity storage.,Score 1 if the response correctly associates approximately $50 million with large electricity-storage batteries; otherwise score 0.,26,Energy Infrastructure
M05-T09-C01,M05-T09,parks_allocation,The parks allocation totals $700 million.,Score 1 if the response correctly identifies approximately $700 million for parks; otherwise score 0.,26,Parks
M05-T09-C02,M05-T09,parks_allocation,About $300 million would expand recreation opportunities or reduce climate-change impacts on parks.,Score 1 if the response correctly associates approximately $300 million with park recreation or climate-impact activities; otherwise score 0.,26,Parks
M05-T09-C03,M05-T09,parks_allocation,About $200 million would provide grants to local communities for new or renovated parks.,Score 1 if the response correctly associates approximately $200 million with local-community park grants; otherwise score 0.,26,Parks
M05-T09-C04,M05-T09,parks_allocation,About $200 million would repair state parks and provide nature education.,Score 1 if the response correctly associates approximately $200 million with state-park repairs and/or nature education; otherwise score 0.,26,Parks
M05-T10-C01,M05-T10,extreme_heat_allocation,The extreme-heat allocation totals $450 million.,Score 1 if the response correctly identifies approximately $450 million for extreme-heat activities; otherwise score 0.,26,Extreme Heat
M05-T10-C02,M05-T10,extreme_heat_allocation,About $200 million would support activities protecting communities from extreme heat.,Score 1 if the response correctly associates approximately $200 million with community extreme-heat protection; otherwise score 0.,26,Extreme Heat
M05-T10-C03,M05-T10,extreme_heat_allocation,About $100 million would support places people can use during heatwaves or disasters.,Score 1 if the response correctly associates approximately $100 million with places or facilities people can use during heatwaves or disasters; otherwise score 0.,26,Extreme Heat
M05-T10-C04,M05-T10,extreme_heat_allocation,About $150 million would provide local grants for environmental benefits such as reducing air pollution.,Score 1 if the response correctly associates approximately $150 million with local environmental-benefit grants; otherwise score 0.,26,Extreme Heat
M05-T11-C01,M05-T11,agriculture_allocation,The farms-and-agriculture allocation totals $300 million.,Score 1 if the response correctly identifies approximately $300 million for farms and agriculture; otherwise score 0.,26,Farms and Agriculture
M05-T11-C02,M05-T11,agriculture_allocation,"About $105 million would support soil-health improvements, reduced air pollution, and reduced water use by farmers.","Score 1 if the response correctly associates approximately $105 million with agricultural soil, air-pollution, and/or water-use improvements; otherwise score 0.",26,Farms and Agriculture
M05-T11-C03,M05-T11,agriculture_allocation,About $60 million would support community gardens and farmers' markets.,Score 1 if the response correctly associates approximately $60 million with community gardens and farmers' markets; otherwise score 0.,26,Farms and Agriculture
M05-T11-C04,M05-T11,agriculture_allocation,Remaining agricultural funding may support activities such as farmworker transportation and conserving farmland.,Score 1 if the response identifies farmworker transportation and/or farmland conservation as additional eligible agricultural activities; otherwise score 0.,26,Farms and Agriculture
M05-T12-C01,M05-T12,distributional_requirement,At least 40 percent of bond money is subject to the community-benefit requirement.,Score 1 if the response correctly preserves the minimum threshold of at least 40 percent; otherwise score 0.,26;27,Proposal — Establishes Other Requirements for the Use of Funds
M05-T12-C02,M05-T12,distributional_requirement,The required funding must be used for activities that directly benefit qualifying communities.,Score 1 if the response preserves that the 40-percent share must directly benefit qualifying communities; otherwise score 0.,26;27,Proposal — Establishes Other Requirements for the Use of Funds
M05-T12-C03,M05-T12,distributional_requirement,Qualifying communities include those with lower incomes or greater vulnerability to climate-change impacts.,Score 1 if the response identifies lower-income communities and/or communities more vulnerable to climate-change impacts as the targeted groups; otherwise score 0.,26;27,Proposal — Establishes Other Requirements for the Use of Funds
M05-T13-C01,M05-T13,accountability,Proposition 4 requires annual audits.,Score 1 if the response states that annual audits are required; otherwise score 0.,24;27,Official Title and Summary; Proposal
M05-T13-C02,M05-T13,accountability,Proposition 4 requires regular public reporting of how bond money is spent.,Score 1 if the response states that regular public reporting of bond spending is required; otherwise score 0.,24;27,Official Title and Summary; Proposal
M05-T14-C01,M05-T14,state_fiscal_cost,Bond repayment is estimated to cost about $400 million annually.,Score 1 if the response correctly states the approximate annual repayment cost of $400 million; otherwise score 0.,27,Fiscal Effects
M05-T14-C02,M05-T14,state_fiscal_cost,The estimated repayment period is 40 years.,Score 1 if the response correctly identifies the 40-year repayment period; otherwise score 0.,27,Fiscal Effects
M05-T14-C03,M05-T14,state_fiscal_cost,Bond repayments would be made from the state General Fund.,Score 1 if the response correctly identifies the state General Fund as the source of repayment; otherwise score 0.,27,Fiscal Effects
M05-T15-C01,M05-T15,borrowing_cost_and_scale,Annual bond repayments would be less than one-half of 1 percent of the state's total General Fund budget.,Score 1 if the response correctly states both the less-than-one-half-of-1-percent magnitude and that the comparison is to the state's General Fund budget; otherwise score 0.,27,Fiscal Effects
M05-T15-C02,M05-T15,borrowing_cost_and_scale,Interest makes bond financing more expensive than paying up front.,Score 1 if the response correctly identifies interest as the reason borrowing costs more than paying up front; otherwise score 0.,27,Fiscal Effects
M05-T15-C03,M05-T15,borrowing_cost_and_scale,The inflation-adjusted additional total cost is estimated at about 10 percent.,Score 1 if the response correctly states the approximately 10-percent additional cost and preserves that the comparison is adjusted for inflation; otherwise score 0.,27,Fiscal Effects
M05-T15-C04,M05-T15,borrowing_cost_and_scale,The comparison is against the state paying up front with money it already has.,Score 1 if the response preserves the up-front-payment counterfactual; otherwise score 0.,27,Fiscal Effects
M05-T16-C01,M05-T16,local_fiscal_tradeoff,Additional state bond funding could replace local-government money that otherwise would have paid for projects.,Score 1 if the response preserves the mechanism by which state bond money may substitute for local spending; otherwise score 0.,27,Likely Reduced Local Costs for Natural Resources and Climate Activities
M05-T16-C02,M05-T16,local_fiscal_tradeoff,State funding could also encourage some local governments to spend more on larger projects than they otherwise would.,Score 1 if the response preserves the possibility that state funding could induce additional local spending or larger projects; otherwise score 0.,27,Likely Reduced Local Costs for Natural Resources and Climate Activities
M05-T16-C03,M05-T16,local_fiscal_tradeoff,"On net, Proposition 4 is expected to result in savings to local governments.",Score 1 if the response preserves the source's conclusion that the net effect likely is local-government savings; otherwise score 0.,27,Likely Reduced Local Costs for Natural Resources and Climate Activities
M05-T16-C04,M05-T16,local_fiscal_tradeoff,The amount of local-government savings is uncertain.,Score 1 if the response explicitly preserves uncertainty about the magnitude of local-government savings; otherwise score 0.,27,Likely Reduced Local Costs for Natural Resources and Climate Activities
M05-T16-C05,M05-T16,local_fiscal_tradeoff,Local-government savings could average tens of millions of dollars annually over the next few decades.,Score 1 if the response preserves both the approximate magnitude of tens of millions of dollars annually and the multi-decade timeframe; otherwise score 0.,27,Likely Reduced Local Costs for Natural Resources and Climate Activities
M05-T17-C01,M05-T17,conditional_savings_and_uncertainty,Disaster-related savings depend on bond-funded activities actually reducing disaster risk or damage.,Score 1 if the response preserves the conditional link between successful risk/damage reduction and potential savings; otherwise score 0.,27,Potential State and Local Savings if Funding Prevents Disasters
M05-T17-C02,M05-T17,conditional_savings_and_uncertainty,Successful disaster-risk reduction could lower state and local response and recovery costs.,Score 1 if the response states that reduced disaster risk or damage could lower state and local response or recovery costs; otherwise score 0.,27,Potential State and Local Savings if Funding Prevents Disasters
M05-T17-C03,M05-T17,conditional_savings_and_uncertainty,The amount of potential disaster-related savings is uncertain.,Score 1 if the response explicitly preserves that the magnitude of disaster-related savings is uncertain; otherwise score 0.,27,Potential State and Local Savings if Funding Prevents Disasters
