component_id,claim_id,category,component_text,binary_scoring_rule,source_page,source_section
M06-T04-C02,M06-T04,eligible_infrastructure_uses,"Examples of qualifying public infrastructure include roads, water infrastructure, and fire protection.","Score 1 if the response correctly identifies at least two of the source-specified examples such as roads, water infrastructure, or fire protection without materially mischaracterizing the category; otherwise score 0.",30,Official Title and Summary; Background
M06-T05-C01,M06-T05,property_tax_authority,Proposition 5 permits local governments to assess property taxes above 1 percent for the specified bond repayment.,Score 1 if the response preserves the authority to assess property taxes above 1 percent for repayment of qualifying bonds; otherwise score 0.,30,Official Title and Summary
M06-T05-C02,M06-T05,property_tax_authority,The above-1-percent property-tax authority is for repayment of affordable-housing and infrastructure bonds.,Score 1 if the response links that property-tax authority to repayment of the qualifying affordable-housing or infrastructure bonds; otherwise score 0.,30,Official Title and Summary
M06-T05-C03,M06-T05,property_tax_authority,The relevant bonds can use this rule when approved by 55 percent rather than two-thirds of voters.,Score 1 if the response correctly preserves the 55-percent versus two-thirds approval change in connection with this property-tax rule; otherwise score 0.,30,Official Title and Summary
M06-T06-C01,M06-T06,accountability,Qualifying bonds require annual independent financial audits.,Score 1 if the response states that annual independent financial audits are required; otherwise score 0.,30;31,Official Title and Summary; Proposal
M06-T06-C02,M06-T06,accountability,Qualifying bonds require annual independent performance audits.,Score 1 if the response states that annual independent performance audits are required; otherwise score 0.,30;31,Official Title and Summary; Proposal
M06-T06-C03,M06-T06,accountability,Citizens' oversight committees would supervise bond spending.,Score 1 if the response identifies citizens' oversight committees as a required spending-oversight mechanism; otherwise score 0.,30;31,Official Title and Summary; Proposal
M06-T07-C01,M06-T07,passage_effect,The lower voter threshold would make qualifying local bonds easier to pass.,Score 1 if the response preserves the expected direction that qualifying bonds become easier or more likely to pass; otherwise score 0.,31,Fiscal Effects
M06-T07-C02,M06-T07,passage_effect,Recent election results suggest an additional 20 percent to 50 percent of local bond measures would have passed under the lower threshold.,Score 1 if the response correctly preserves the 20-to-50-percent retrospective estimate and its meaning; otherwise score 0.,31,Fiscal Effects
M06-T07-C03,M06-T07,passage_effect,Those additional measures would have raised a couple billion dollars over many years.,Score 1 if the response preserves both the approximate couple-billion-dollar magnitude and multi-year timeframe of the retrospective estimate; otherwise score 0.,31,Fiscal Effects
M06-T07-C04,M06-T07,passage_effect,The lower threshold could also lead local governments to propose more bond measures.,Score 1 if the response preserves that the lower threshold could increase the number of measures proposed; otherwise score 0.,31,Fiscal Effects
M06-T08-C01,M06-T08,local_funding_effect,More approved bonds could increase funding for housing assistance and public infrastructure.,Score 1 if the response preserves the expected increase in available funding for the qualifying purposes; otherwise score 0.,31,Fiscal Effects
M06-T08-C02,M06-T08,local_funding_effect,The amount of the future funding increase is unclear.,Score 1 if the response explicitly preserves uncertainty about the magnitude of the funding increase; otherwise score 0.,31,Fiscal Effects
M06-T08-C03,M06-T08,local_funding_effect,"Based on recent trends, the increase could be at least a couple billion dollars over many years.",Score 1 if the response preserves the source-qualified estimate of at least a couple billion dollars over many years; otherwise score 0.,31,Fiscal Effects
M06-T08-C04,M06-T08,local_funding_effect,The size of the funding increase would vary across local governments.,Score 1 if the response preserves variation in the funding effect across local governments; otherwise score 0.,31,Fiscal Effects
M06-T09-C01,M06-T09,borrowing_cost_and_uncertainty,Approving more bonds would give local governments more borrowing costs.,Score 1 if the response preserves that more approved bonds would increase local-government borrowing costs; otherwise score 0.,31,Fiscal Effects
M06-T09-C02,M06-T09,borrowing_cost_and_uncertainty,Those additional borrowing costs would be paid with higher property taxes.,Score 1 if the response correctly identifies higher property taxes as the repayment source for the additional borrowing costs; otherwise score 0.,31,Fiscal Effects
M06-T09-C03,M06-T09,borrowing_cost_and_uncertainty,Future bond approval ultimately depends on decisions by local governments and voters.,Score 1 if the response preserves that actual future bond approval remains contingent on local-government and voter decisions; otherwise score 0.,31,Fiscal Effects
