claim_id,category,reference_claim,supporting_source_text,source_document,source_page,source_section,importance_note
M02-T11,fiscal_mechanism,"Proposition 1 authorizes about $6.4 billion in new state bonds, with the borrowed money repaid with interest over time.",Proposition 1 allows the state to sell $6.4 billion in new bonds. Bonds are a way that the state borrows money and then repays the money plus interest over time.,"Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",12,$6.4 Billion Bond — Proposal,Defines the principal financing mechanism of the second major component of Proposition 1.
M02-T12,funding_allocation,"Up to $4.4 billion of bond funding would go to treatment-facility capacity, with at least $1.5 billion directed to local governments and tribes; the types of facilities built depend on future state decisions.",Proposition 1 would give up to $4.4 billion to the state program that builds more places for mental health care and drug or alcohol treatment. The types of places that would be built with bond funds would depend on future decisions by the state. Proposition 1 would require at least $1.5 billion of the $4.4 billion to go to local governments and tribes.,"Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",12,$6.4 Billion Bond — Proposal — Use of Funds,"Captures the largest bond allocation, its local/tribal set-aside, and the source's explicit implementation uncertainty."
M02-T13,funding_allocation,"The bond provides $2 billion for housing through a state program supporting conversion of existing buildings and new construction, with local governments receiving grants or loans.","Proposition 1 would give $2 billion to the state program that gives money to local governments to turn hotels, motels, and other buildings into housing and construct new housing. Local governments would get either grants or loans from the state.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",12-13,$6.4 Billion Bond — Proposal — Use of Funds,Captures the bond's second major funding allocation and delivery mechanism.
M02-T14,affected_groups,"Housing funded by the measure is for people experiencing or at risk of homelessness who also have mental-health, drug, or alcohol challenges, and just over half of the $2 billion is set aside for veterans.","The housing added by the measure would be for people who are (1) experiencing homelessness or at risk of becoming homeless and (2) have mental health, drug, or alcohol challenges. Just over half of the $2 billion would be set aside for veterans.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",13,$6.4 Billion Bond — Proposal — Housing,Defines housing eligibility and the measure's substantial veteran set-aside.
M02-T15,fiscal_effect,"The measure shifts roughly $140 million of MHSA money annually from counties to the state, with the amount varying according to total MHSA revenue collected.",The proposition shifts roughly $140 million annually of MHSA money from the counties to the state. This amount would be higher or lower depending on the total amount of MHSA money collected annually.,"Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",13,Fiscal Effects — MHSA,Quantifies the direct annual state-county fiscal redistribution.
M02-T16,fiscal_cost,"Counties may need to use other county, state, or federal funding to maintain current service levels.","Counties would provide more housing and personalized support services, but would have less MHSA money for other mental health services. This means counties may need to use other county, state, or federal money to keep current service levels.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",13,Fiscal Effects — MHSA,Explicit possible fiscal consequence for counties attempting to maintain existing service levels.
M02-T17,fiscal_cost,"Bond repayment is estimated at about $310 million annually for 30 years from the state General Fund, less than one-half of 1 percent of General Fund revenue; interest makes the total bond cost about 10 percent higher than paying cash.","We estimate the cost to repay the bond would be about $310 million annually over a 30-year period. Payments would be made from the state General Fund. This would be less than one-half of 1 percent of state General Fund revenue. Since the state has to pay interest on the money it borrows, the total cost of the bond would be about 10 percent more expensive than if the state paid in cash.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",13,Fiscal Effects — Bond,"Captures the magnitude, duration, funding source, relative scale, and interest cost of the bond."
M02-T18,implementation_cost,Local governments and tribes receiving bond-funded grants or loans would have to pay some operating costs for the resulting treatment facilities and housing.,"Local governments and tribes would receive grants and loans funded by the bond to build more places for mental health care and drug or alcohol treatment and more housing for people with mental health, drug, or alcohol challenges. These governments would have to pay for some of the costs to operate these places and housing.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",13,Fiscal Effects — Bond — Funding for Local Governments,Identifies an implementation cost beyond the state's bond repayment.
M02-T19,intended_benefit,"The state estimates the bond would create treatment capacity for about 6,800 people at any one time, but additional treatment capacity may still be needed after the bond funds are spent.","The state government estimates that the bond would build places for 6,800 people to receive mental health care and drug or alcohol treatment at any one time. While the measure would build a lot of new treatment places, there may still be some need for new places after the bond funds are spent.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",13,Fiscal Effects — Bond — Treatment Capacity,Pairs the quantified capacity benefit with the source's explicit remaining-need limitation.
M02-T20,baseline_context,"As of January 2022, California had about 171,500 people experiencing homelessness, including about 10,400 veterans.","As of January 2022, there were 171,500 people who were experiencing homelessness in California. Of this total, 10,400 were veterans.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",12,$6.4 Billion Bond — Background — Homelessness,Provides the baseline needed to interpret the measure's housing and veteran impact estimates.
M02-T21,baseline_context,"An existing state housing program already funds local governments and tribes to convert buildings and construct housing, and recent state budgets had provided $3.7 billion to that program.","One such state program gives grants to local governments and tribes for various purposes, including to turn hotels, motels, and other buildings into housing and construct new housing. Recent state budgets have given $3.7 billion to this program.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",12,$6.4 Billion Bond — Background — Housing,Provides the existing-program counterfactual for the bond's additional housing funding.
M02-T22,intended_benefit,"The state estimates the bond would build up to 4,350 housing units, including 2,350 set aside for veterans, housing more than 20 percent of veterans experiencing homelessness while reducing statewide homelessness only by a small amount.","The state government estimates the bond would build up to 4,350 housing units, with 2,350 set aside for veterans. The bond would provide housing to over 20 percent of veterans experiencing homelessness. The number of housing units built by the bond would reduce statewide homelessness by only a small amount.","Official California Voter Information Guide, Proposition 1, March 5, 2024 Primary Election",13,Fiscal Effects — Bond — Homelessness,Combines the quantified housing and veteran benefit with the source's explicit limitation on statewide homelessness reduction.
